Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,Sum,iterations,lbs,novel,unique,usage,ave_length,,,,,,
0.846465192,0.720709249,0.610606471,0.4935375,0.345793282,0.726345507,0.887948811,2.453625101,1,5,0.410447761,0.629850746,236,5.531343284,,0.493352552,0.34538603,0.726749365,0.882551675,1.006115377
0.83830683,0.728306597,0.628400261,0.521221329,0.354096887,0.72917769,0.92823178,2.532727686,2,5,0.325373134,0.597014925,246,5.497014925,,0.521660204,0.354042178,0.730248443,0.923905154,1.004682977
0.841492609,0.732950156,0.635809225,0.530199032,0.356559603,0.734356757,0.95340191,2.574517302,3,5,0.320895522,0.591044776,252,5.511940299,,0.530594576,0.356808314,0.734201686,0.953709792,0.999677173
0.841204436,0.733855713,0.637163871,0.53288825,0.358175681,0.73258941,0.949157766,2.572811107,4,5,0.295522388,0.576119403,246,5.491044776,,0.532083955,0.358151171,0.732451831,0.947642231,1.001599269
0.84174782,0.733096561,0.635524596,0.531005614,0.357329175,0.73123199,0.951452999,2.571019778,5,5,0.292537313,0.57761194,252,5.494029851,,0.531660052,0.357687173,0.731077714,0.95106797,1.000404839
0.841777018,0.733590018,0.635744734,0.531610311,0.357743663,0.73333258,0.950724353,2.573410907,6,5,0.297014925,0.582089552,257,5.504477612,,0.530902832,0.357998831,0.733115995,0.948558414,1.002283401
0.840226965,0.731544482,0.63305715,0.528234937,0.356652741,0.731271203,0.945118271,2.561277152,7,5,0.3,0.580597015,256,5.517910448,,0.528276101,0.357125076,0.731305391,0.946458423,0.998584035
0.839469287,0.731439486,0.633822155,0.529106002,0.356485989,0.731667646,0.942005834,2.559265472,8,5,0.297014925,0.574626866,257,5.510447761,,0.529341083,0.35684232,0.731607974,0.945147319,0.996676196
0.840474235,0.732264104,0.634810687,0.530381189,0.357666476,0.733340592,0.946144247,2.567532503,9,5,0.3,0.57761194,257,5.537313433,,0.530263913,0.357753123,0.733195751,0.946393009,0.999737147
0.840626658,0.732281687,0.634876098,0.529859744,0.356826387,0.733674877,0.941097863,2.561458871,10,5,0.298507463,0.579104478,258,5.523880597,,0.52928679,0.356826587,0.733369857,0.941267459,0.999819821
