Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,Sum,iterations,lbs,novel,unique,usage,ave_length,,,,,,
0.848057413,0.716758281,0.609148753,0.495693362,0.337951639,0.721501259,0.865741574,2.420887834,1,5,0.371641791,0.574626866,213,5.18358209,,0.491946722,0.336996782,0.721379203,0.858444188,1.008500711
0.839025624,0.726437737,0.6265571,0.519725187,0.354218208,0.730895072,0.934028408,2.538866875,2,5,0.317910448,0.58358209,241,5.328358209,,0.521459122,0.353852356,0.729816126,0.93323839,1.000846534
0.840604027,0.728163927,0.630105099,0.523463338,0.352805972,0.729589145,0.914108997,2.519967453,3,5,0.326865672,0.580597015,239,5.337313433,,0.522461223,0.352588901,0.728913625,0.917392533,0.996420795
0.838329537,0.732901159,0.635435851,0.529238103,0.35550966,0.72723133,0.93538855,2.547367643,4,5,0.302985075,0.567164179,245,5.320895522,,0.527749379,0.355748353,0.728848157,0.935242464,1.000156201
0.839516582,0.733532321,0.635307503,0.527098437,0.354015859,0.728848771,0.930653132,2.5406162,5,5,0.297014925,0.56119403,244,5.310447761,,0.52481768,0.353638282,0.728885055,0.928286657,1.002549294
0.836986774,0.729722471,0.6316118,0.523527095,0.353580232,0.728411292,0.919440777,2.524959396,6,5,0.298507463,0.562686567,244,5.305970149,,0.523705254,0.353744846,0.730186727,0.920995675,0.998311721
0.836307734,0.729439142,0.629972794,0.520403333,0.353198878,0.728785295,0.919435601,2.521823107,7,5,0.297014925,0.564179104,249,5.349253731,,0.519044865,0.352880654,0.729502957,0.916888312,1.002778189
0.837534882,0.730998366,0.630974522,0.520651777,0.351731168,0.728661094,0.911658186,2.512702226,8,5,0.297014925,0.568656716,253,5.325373134,,0.519560255,0.351169751,0.728656022,0.911855105,0.999784046
0.836956229,0.730673853,0.630331955,0.51909285,0.351509801,0.72764401,0.914927736,2.513174397,9,5,0.3,0.571641791,253,5.350746269,,0.518290367,0.350590231,0.726913885,0.912085498,1.003116197
0.836074682,0.730367448,0.630378616,0.519678734,0.351832664,0.728289401,0.909084026,2.508884824,10,5,0.291044776,0.562686567,254,5.352238806,,0.51893232,0.351778937,0.728379483,0.90780605,1.001407764
